::ffff:127.0.0.1 - - [20/Feb/2021:07:03:41 +0000] "GET /api/v1/books HTTP/1.1" 200 4745 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:04:13 +0000] "DELETE /api/v1/books/6030b44b09a44b1a77347920 HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:04:18 +0000] "GET /api/v1/books HTTP/1.1" 200 3175 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:04:28 +0000] "GET /api/v1/categories HTTP/1.1" 200 2202 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:05:59 +0000] "GET /api/v1/categories HTTP/1.1" 200 2181 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:06:06 +0000] "GET /api/v1/books HTTP/1.1" 200 36 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:06:16 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:06:19 +0000] "GET /api/v1/books HTTP/1.1" 200 1605 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:06:29 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:06:32 +0000] "GET /api/v1/books HTTP/1.1" 200 3175 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:06:42 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:06:49 +0000] "GET /api/v1/books HTTP/1.1" 200 4745 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:07:06 +0000] "DELETE /api/v1/books/6030b502e27d621a911e0024 HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:07:09 +0000] "GET /api/v1/books HTTP/1.1" 200 3175 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:07:32 +0000] "DELETE /api/v1/books/6030b4f5e27d621a911e0023 HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:07:35 +0000] "GET /api/v1/books HTTP/1.1" 200 1605 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:08:10 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:08:12 +0000] "GET /api/v1/books HTTP/1.1" 200 3175 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:08:21 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:08:23 +0000] "GET /api/v1/books HTTP/1.1" 200 4784 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:08:55 +0000] "DELETE /api/v1/books/6030b559ffeeee1aa9207877 HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:08:59 +0000] "GET /api/v1/books HTTP/1.1" 200 3175 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:10:24 +0000] "POST /api/v1/books HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:10:27 +0000] "GET /api/v1/books HTTP/1.1" 200 4745 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:10:50 +0000] "DELETE /api/v1/books/6030b565ffeeee1aa9207878 HTTP/1.1" 200 1501 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:10:51 +0000] "GET /api/v1/books HTTP/1.1" 200 3175 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:18:37 +0000] "GET /api/v1/books/6030b4e7e27d621a911e0022 HTTP/1.1" 200 28 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:18:54 +0000] "GET /api/v1/books/6030b4e7e27d621a911e0022 HTTP/1.1" 200 84 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:20:11 +0000] "GET /api/v1/books/6030b4e7e27d621a911e0022 HTTP/1.1" 200 1510 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:20:38 +0000] "GET /api/v1/books/6030b4e7e27d621a911e0022 HTTP/1.1" 200 1515 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:20:45 +0000] "GET /api/v1/books HTTP/1.1" 200 3175 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:20:55 +0000] "GET /api/v1/books/6030b4e7e27d621a911e0022 HTTP/1.1" 200 1515 "-" "PostmanRuntime/7.24.1"
::ffff:127.0.0.1 - - [20/Feb/2021:07:21:09 +0000] "GET /api/v1/books/6030b4e7e27d621a911e0022 HTTP/1.1" 200 1566 "-" "PostmanRuntime/7.24.1"
